Snapshot_Date,Opportunity_ID,Opportunity_Stage,Opportunity_Type,Opportunity_Annual_Amount,Opportunity_Created_Date,Opportunity_Close_Date,Opportunity_Product,Account_Electronic_Medical_Record_System,Account_Hospital_Type,Account_Fiscal_Year_End,Account_State,Account_Zip_Code,Account_Number_of_Hospitals ,Account_Number_of_Beds,Account_Number_of_Affiliated_Physicians,Account_Number_of_Employee,Account_Cash_on_Hand,Account_Total_Patient_Revenue,Account_Net_Patient_Revenue,Opportunity_Annual_Amount_Prev_Quarter,Opportunity_Annual_Amount_Diff,Month,Year,Quarter,Year_Quarter
2023-07-01,0061K00000lQy8P,Stage 3 - Pricing,New Business,51001.0,2/6/2023,11/15/2023,Compliance Analytics,Epic,Health System,nan,FL,32256.0,2.0,336.0,1340.0,10544.029979324603,4425.0,2549306153.0,962736304.0,138620.718,-87619.718,6,2023,Q2,2023Q2
2023-07-01,0061K00000lR0jz,Stage 2 - Scoping,New Business,87988.38,2/8/2023,12/31/2023,Diversion Monitoring,Epic,Health System,nan,UT,84132.0,4.0,735.0,2071.0,12039.0,635185592.0,5663086159.0,2634418500.0,239152.4168,-151164.0368,6,2023,Q2,2023Q2
2023-07-01,0061K00000lR4ZU,Stage 4 - Verbal / VOC,New Business,93515.17,2/13/2023,9/15/2023,Diversion Monitoring,Epic,Health System,nan,NJ,7960.0,8.0,1940.0,4317.0,10544.029979324603,696210495.0,17079849946.0,3472758404.0,254174.2321,-160659.06209999998,6,2023,Q2,2023Q2
2023-07-01,0061K00000lR9dm,Stage 3 - Pricing,Existing Business,30748.0,2/17/2023,9/1/2023,Privacy Monitoring,Epic,Health System,nan,WA,98405.0,12.0,1900.0,4731.0,10544.029979324603,40220179.0,13872969998.0,3600544769.0,83573.064,-52825.064,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRDxS,Stage 3 - Pricing,New Business,29315.0,2/22/2023,8/30/2023,Diversion Monitoring,Cerner,Health System,nan,GA,30912.0,5.0,724.0,968.0,10544.029979324603,25495707.0,3721194937.0,742974036.0,79678.17,-50363.17,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRFy8,Stage 3 - Pricing,Existing Business,29000.02,2/24/2023,8/15/2023,Privacy Monitoring,Epic,Health System,nan,SC,29646.0,2.0,315.0,503.0,10544.029979324603,25708439.0,1275976193.0,425613703.0,78822.05436,-49822.03435999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRIBo,Stage 2 - Scoping,New Business,157840.0,2/27/2023,12/1/2023,Diversion Monitoring,Other,Health System,nan,CO,80112.0,0.0,2136.0,3615.0,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,429009.12,-271169.12,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRICd,Stage 1 - Evaluating,New Business,102310.0,2/27/2023,3/29/2024,Diversion Monitoring,Epic,Health System,nan,TX,77030.0,9.0,2774.0,3594.0,10544.029979324603,514064657.0,31011802529.0,5737386317.0,278078.58,-175768.58000000002,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRJ2c,Stage 3 - Pricing,New Business,880750.47,2/28/2023,11/15/2023,Privacy Monitoring,Epic,Health System,nan,FL,32714.0,53.0,9060.0,13988.0,46304.0,4779920653.0,65116696237.0,13243106471.0,2209061.703,-1328311.2330000002,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRKfD,Stage 4 - Verbal / VOC,New Business,57864.37,2/28/2023,12/1/2023,Privacy Monitoring,Epic,Health System,nan,OH,45219.0,2.0,546.0,822.0,10544.029979324603,38008899.0,3155461160.0,891957700.0,157275.3577,-99410.9877,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRLbH,Stage 2 - Scoping,New Business,348046.0,3/1/2023,3/29/2024,Privacy Monitoring,Epic,Health System,nan,TX,76011.0,29.0,3612.0,5695.0,34594.0,225592200.0,18466161138.0,5165327002.0,945989.028,-597943.028,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRQxb,Stage 1 - Evaluating,New Business,23488.57,3/6/2023,3/22/2024,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/2023,PA,19020.0,16.0,24.0,51.0,10544.029979324603,6202212.0,265996964.0,64769294.0,63841.93326,-40353.36326,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRRcz,Stage 2 - Scoping,New Business,53659.0,3/7/2023,11/29/2023,Privacy Monitoring,Epic,Health System,nan,IL,61801.0,8.0,1047.0,2633.0,10544.029979324603,-7753402.0,8760516151.0,2145843474.0,145845.162,-92186.16200000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRRhB,Stage 1 - Evaluating,New Business,73705.0,3/7/2023,3/1/2024,Diversion Monitoring,Epic,Health System,nan,IL,61602.0,16.0,2074.0,3611.0,10544.029979324603,2010921850.0,12173925432.0,3065396921.0,200330.19,-126625.19,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRSOj,Stage 0 - Prospecting,New Business,72860.0,3/7/2023,1/1/2024,Diversion Monitoring,Epic,Health System,nan,MI,49503.0,10.0,1901.0,4000.0,10544.029979324603,982985681.0,7869236233.0,3290488427.0,198033.48,-125173.48000000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRVJl,Stage 2 - Scoping,New Business,33120.44,3/9/2023,10/31/2023,Diversion Monitoring,Meditech,Critical Access Hospital,6/30/2023,OR,97467.0,0.0,16.0,35.0,10544.029979324603,3953014.0,52635347.0,27772884.0,90021.35592,-56900.91592,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRW2L,Stage 2 - Scoping,New Business,67545.0,3/10/2023,10/1/2023,Diversion Monitoring,Epic,Health System,nan,WI,54956.0,8.0,436.0,1233.0,10544.029979324603,562288143.0,2162240920.0,845628712.0,183587.31,-116042.31,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRWHg,Stage 2 - Scoping,New Business,12595.0,3/10/2023,12/1/2023,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,6/30/2023,OH,43402.0,0.0,99.0,159.0,10544.029979324603,32862832.0,222012876.0,101985782.0,34233.21,-21638.21,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRXzn,Stage 4 - Verbal / VOC,New Business,26990.98,3/13/2023,7/31/2023,Privacy Monitoring,Epic,Short Term Acute Care Hospital,6/30/2023,WA,98004.0,0.0,296.0,1342.0,2625.0,15282530.0,2039476965.0,622204958.0,91392.75,-64401.770000000004,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRc1h,Stage 1 - Evaluating,New Business,69247.91,3/16/2023,3/29/2024,Diversion Monitoring,Epic,Health System,nan,CA,92354.0,6.0,1163.0,1695.0,9300.0,181173882.0,10917053991.0,1872645618.0,188215.8194,-118967.9094,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRcwu,Stage 3 - Pricing,New Business,44999.95,3/17/2023,11/15/2023,Diversion Monitoring,Epic,Health System,nan,FL,32256.0,2.0,336.0,1340.0,10544.029979324603,4425.0,2549306153.0,962736304.0,122309.8641,-77309.91410000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRcxO,Stage 3 - Pricing,New Business,30594.06,3/17/2023,2/15/2024,Privacy Monitoring,Other,Rehabilitation Hospital,6/30/2023,TN,37403.0,0.0,96.0,22.0,10544.029979324603,15187834.0,51439479.0,48922164.0,83154.65508,-52560.59508,6,2023,Q2,2023Q2
2023-07-01,0061K00000lReig,Stage 3 - Pricing,New Business,90220.37,3/20/2023,12/29/2023,Privacy Monitoring,Other,Health System,nan,CA,91010.0,4.0,378.0,1083.0,5880.0,7546306.0,7995795106.0,2934195285.0,350486.9426,-260266.5726,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRjSu,Stage 1 - Evaluating,New Business,200920.02,3/23/2023,12/13/2023,Diversion Monitoring,Epic,Health System,nan,MA,2138.0,14.0,2413.0,7892.0,10544.029979324603,51680048.0,11394245520.0,4977074535.0,546100.6144,-345180.59439999994,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRmJS,Stage 4 - Verbal / VOC,New Business,27265.42,3/28/2023,11/29/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,74107.41156,-46841.991559999995,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRnT0,Stage 3 - Pricing,Existing Business,40000.09,3/29/2023,1/10/2024,Diversion Monitoring,Cerner,Health System,nan,TN,38401.0,3.0,305.0,409.0,10544.029979324603,69030782.0,1460600399.0,365065858.0,108720.2446,-68720.15460000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRyC4,Stage 3 - Pricing,New Business,40287.62,4/10/2023,9/12/2023,Privacy Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,GA,30720.0,0.0,221.0,516.0,10544.029979324603,14236193.0,1487900893.0,349624719.0,109501.7512,-69214.1312,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRyE9,Stage 2 - Scoping,Existing Business,40000.0,4/10/2023,2/15/2024,Diversion Monitoring,Epic,Health System,nan,KY,40223.0,10.0,2235.0,5166.0,10544.029979324603,12270781.0,20522369412.0,3302416591.0,108720.0,-68720.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lRyiO,Stage 3 - Pricing,New Business,11966.13,4/10/2023,8/31/2023,Privacy Monitoring,Epic,Critical Access Hospital,6/30/2023,IA,51537.0,0.0,25.0,46.0,10544.029979324603,21466237.0,71942108.0,40799174.0,32523.94134,-20557.81134,6,2023,Q2,2023Q2
2023-07-01,0061K00000lS1S0,Stage 2 - Scoping,New Business,38177.93,4/12/2023,3/15/2024,Privacy Monitoring,Epic,Health System,nan,MD,21801.0,2.0,319.0,913.0,10544.029979324603,29089987.0,895131961.0,608750189.0,103767.6137,-65589.6837,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSTui,Stage 3 - Pricing,New Business,32001.15,4/21/2023,12/4/2023,Diversion Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,GA,30720.0,0.0,221.0,516.0,10544.029979324603,14236193.0,1487900893.0,349624719.0,86979.1257,-54977.9757,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSTwZ,Stage 3 - Pricing,New Business,28728.97,4/21/2023,12/15/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,78085.34046,-49356.370460000006,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSauT,Stage 3 - Pricing,Existing Business,34130.13,4/26/2023,9/21/2023,Privacy Monitoring,Epic,Health System,nan,SC,29506.0,7.0,764.0,1167.0,10544.029979324603,37730451.0,6003595117.0,1226821177.0,92765.69334,-58635.56334,6,2023,Q2,2023Q2
2023-07-01,0061K00000lScce,Stage 1 - Evaluating,New Business,47383.31,4/27/2023,3/15/2024,Privacy Monitoring,Epic,Health System,nan,NY,10940.0,3.0,420.0,841.0,10544.029979324603,25945000.0,2576205540.0,666945846.0,128787.8366,-81404.5266,6,2023,Q2,2023Q2
2023-07-01,0061K00000lScir,Stage 2 - Scoping,Existing Business,132452.78,4/27/2023,12/15/2023,Privacy Monitoring,Epic,Health System,nan,NY,11570.0,6.0,1724.0,2823.0,10414.0,13428000.0,11927474922.0,2587604508.0,360006.656,-227553.87600000002,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSejF,Stage 3 - Pricing,New Business,29948.47,4/28/2023,12/15/2023,Privacy Monitoring,Cerner,Health System,nan,CA,94533.0,2.0,182.0,324.0,1550.0,25047550.0,4463162610.0,676594922.0,115319.7389,-85371.2689,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSekN,Stage 3 - Pricing,New Business,25600.28,4/28/2023,12/15/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,9/30/2023,TX,77954.0,16.0,44.0,85.0,10544.029979324603,24371942.0,109589732.0,35608344.0,69581.56104,-43981.28104,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSekh,Stage 1 - Evaluating,New Business,12075.0,4/28/2023,12/15/2023,Diversion Monitoring,Epic,Critical Access Hospital,12/31/2023,CO,81611.0,0.0,25.0,172.0,10544.029979324603,79127288.0,195072360.0,130050316.0,32819.85,-20744.85,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSelV,Stage 1 - Evaluating,New Business,33902.81,4/28/2023,3/22/2024,Privacy Monitoring,Meditech,Health System,nan,AZ,86409.0,1.0,196.0,383.0,10544.029979324603,47825586.0,1932300351.0,369771903.0,92147.83758,-58245.02758000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSoYw,Stage 3 - Pricing,New Business,25240.0,5/4/2023,12/20/2023,Diversion Monitoring,Cerner,Health System,nan,MO,64108.0,3.0,365.0,654.0,10544.029979324603,-1453431.0,1233890416.0,663746066.0,68602.32,-43362.32000000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSpb9,Stage 3 - Pricing,New Business,42647.15,5/5/2023,3/15/2024,Diversion Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,115914.9537,-73267.80369999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSpcq,Stage 2 - Scoping,New Business,42500.0,5/5/2023,5/16/2024,Diversion Monitoring,Epic,Short Term Acute Care Hospital,12/31/2023,GA,30303.0,0.0,694.0,1156.0,10544.029979324603,61232718.0,7301985885.0,1185936329.0,115515.0,-73015.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSpcr,Stage 3 - Pricing,New Business,67951.0,5/5/2023,11/16/2023,Privacy Monitoring,Epic,Health System,nan,KY,41017.0,6.0,855.0,1319.0,6340.0,132149153.0,4133409109.0,1522600343.0,184690.818,-116739.818,6,2023,Q2,2023Q2
2023-07-01,0061K00000lSyU9,Stage 3 - Pricing,New Business,322813.21,5/10/2023,9/29/2023,Privacy Monitoring,Epic,Health System,nan,TX,75246.0,51.0,4875.0,9506.0,28619.0,342375318.0,31719367734.0,9226871582.0,768027.978,-445214.768,6,2023,Q2,2023Q2
2023-07-01,0061K00000lT0UU,Stage 2 - Scoping,New Business,11000.0,5/11/2023,11/1/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/2023,AZ,85008.0,51.0,64.0,63.0,10544.029979324603,26389956.0,257201820.0,66081222.0,29898.0,-18898.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lT5lQ,Stage 2 - Scoping,Existing Business,163574.24,5/16/2023,5/1/2024,Diversion Monitoring,Epic,Health System,nan,NJ,8837.0,18.0,4438.0,6636.0,10544.029979324603,34261748.0,21201628270.0,5673294538.0,444594.7843,-281020.5443,6,2023,Q2,2023Q2
2023-07-01,0061K00000lT83q,Stage 3 - Pricing,New Business,18595.82,5/16/2023,8/31/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,50543.43876,-31947.618759999998,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTCSu,Stage 4 - Verbal / VOC,New Business,33820.62,5/18/2023,9/5/2023,Diversion Monitoring,Cerner,Health System,nan,AL,36617.0,3.0,692.0,2039.0,10544.029979324603,193337610.0,2453868666.0,824021535.0,91924.44516,-58103.82516,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTLvi,Stage 2 - Scoping,New Business,32613.62,5/24/2023,11/30/2023,Privacy Monitoring,Meditech,Health System,nan,RI,2908.0,2.0,311.0,428.0,1333.0,280967.0,1150758110.0,303821323.0,99178.08048,-66564.46048000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTOLQ,Stage 1 - Evaluating,New Business,24539.83,5/25/2023,5/1/2024,Diversion Monitoring,Meditech,Health System,nan,NY,10701.0,3.0,460.0,321.0,1668.0,8349690.0,913028296.0,267882489.0,55598.049,-31058.218999999997,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTSeW,Stage 2 - Scoping,New Business,116101.0,5/30/2023,12/20/2023,Privacy Monitoring,Epic,Health System,nan,SC,29425.0,12.0,1857.0,3182.0,11739.0,318101846.0,12720090009.0,3135637889.0,315562.518,-199461.51799999998,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTSii,Stage 4 - Verbal / VOC,New Business,33992.11,5/30/2023,9/10/2023,Privacy Monitoring,Epic,Health System,nan,FL,34102.0,2.0,793.0,838.0,2657.0,15927396.0,3159608637.0,677748228.0,92390.55498,-58398.44498,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTT2E,Stage 3 - Pricing,Existing Business,49249.97,5/30/2023,9/18/2023,Diversion Monitoring,Epic,Health System,nan,NC,27835.0,10.0,1401.0,2063.0,2321.0,46121552.0,4684239196.0,1880969076.0,133861.4185,-84611.4485,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTVij,Stage 1 - Evaluating,New Business,43930.0,5/31/2023,5/1/2024,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,6/30/2023,IA,51101.0,37.0,142.0,178.0,10544.029979324603,172689.0,569945133.0,159570662.0,119401.74,-75471.74,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTZCs,Stage 1 - Evaluating,New Business,43191.49,6/2/2023,11/30/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,0.0,1806.345805820494,2977.190464487589,2000.0,259901606.0331903,11417820175.818886,2851373618.273419,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTid7,Stage 2 - Scoping,New Business,13525.0,6/7/2023,11/1/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/2023,IN,46176.0,0.0,46.0,179.0,10544.029979324603,-870779.0,528200353.0,156923865.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTijP,Stage 3 - Pricing,New Business,93505.48,6/7/2023,10/27/2023,Privacy Monitoring,Cerner,Health System,nan,CA,90033.0,4.0,796.0,1430.0,10544.029979324603,15742350.0,8500361980.0,2245021398.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTkhM,Stage 1 - Evaluating,New Business,33100.0,6/8/2023,1/1/2024,Diversion Monitoring,Epic,Health System,nan,NE,68506.0,6.0,813.0,1180.0,10544.029979324603,151364775.0,3242720492.0,1092670794.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lTtGU,Stage 1 - Evaluating,New Business,42171.67,6/14/2023,11/24/2023,Compliance Analytics,Other,Critical Access Hospital,9/30/2023,TX,78861.0,16.0,25.0,59.0,10544.029979324603,16719621.0,78045948.0,31641064.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lU495,Stage 2 - Scoping,New Business,85792.33,6/21/2023,11/15/2023,Diversion Monitoring,Epic,Health System,nan,VT,5401.0,6.0,925.0,3052.0,11593.0,188301834.0,5040700397.0,2147692114.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lU5Sv,Stage 4 - Verbal / VOC,New Business,17200.0,6/21/2023,12/1/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lU5Vh,Stage 0 - Prospecting,Existing Business,44500.0,6/21/2023,2/1/2024,Diversion Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lUBat,Stage 0 - Prospecting,New Business,61201.0,6/26/2023,12/29/2023,Privacy Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,TX,76104.0,0.0,434.0,775.0,10544.029979324603,131280220.0,3195426029.0,607964319.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lUCBW,Stage 2 - Scoping,New Business,56763.26,6/26/2023,6/30/2024,Diversion Monitoring,Epic,Health System,nan,VA,23298.0,9.0,1942.0,1980.0,8571.0,298090050.0,8342885901.0,2248396227.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000lUGm2,Stage 0 - Prospecting,Existing Business,37890.0,6/28/2023,12/15/2023,Diversion Monitoring,Epic,Short Term Acute Care Hospital,6/30/2023,CA,92868.0,24.0,379.0,1143.0,10544.029979324603,259901606.0331903,5277530139.0,1659711206.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000mR3oA,Stage 1 - Evaluating,New Business,107458.94,6/30/2023,6/26/2024,Privacy Monitoring,Epic,Health System,nan,VA,24016.0,8.0,951.0,1522.0,10544.029979324603,5228803.0,6217397878.0,1933876475.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
